slug,assigned_hero,alt
driveway-base-subgrade,hero-graded-base-with-lumber-forms.webp,Graded gravel base with lumber forms staked along the edge
driveway-sealing,hero-freshly-sealed-asphalt-sheen.webp,Freshly sealed asphalt driveway with a dark wet sheen
cobblestone-driveway,hero-tidy-paver-drive-sunset-glow.webp,Tidy interlocking paver driveway glowing in warm sunset light
concrete-repair,hero-fresh-overlay-edge-aged-slab.webp,Fresh overlay edge meeting a worn older concrete slab
concrete-vs-asphalt-vs-gravel,hero-concrete-slab-meets-gravel-verge.webp,New concrete drive meets weathered asphalt at the apron
curing-concrete-driveway,hero-squared-new-slab-bright-lawn.webp,Squared new concrete slab with clean lines beside bright lawn
driveway-excavation-grading,hero-graded-base-with-lumber-forms.webp,Graded gravel base with lumber forms staked along the edge
driveway-reinforcement,hero-graded-base-with-lumber-forms.webp,Graded gravel base with lumber forms staked along the edge
driveway-slope-drainage,hero-rain-sheeting-sealed-drive-drain.webp,Rain water sheeting across a sealed driveway toward a drain
driveway-thickness-guide,hero-fresh-overlay-edge-aged-slab.webp,Fresh overlay edge meeting a worn older concrete slab
driveway-weight-limits,hero-fresh-asphalt-mat-compaction.webp,Fresh asphalt mat under a compaction roller with hot lifts
expansion-control-joints,hero-brushed-concrete-joint-closeup.webp,Close view of brushed concrete surface and straight control joint
how-long-driveway-last,hero-thin-crack-network-aged-asphalt.webp,Fine crack network across a dull weathered asphalt surface
oyster-shell-driveway,hero-shell-gravel-sandy-verge.webp,Crushed shell gravel drive with sandy verges under bright midday sun
permeable-vs-traditional,hero-permeable-pavers-green-joint-lines.webp,Permeable pavers with grass growing in the joint lines
recycled-glass-driveway,hero-crushed-granite-country-drive.webp,Crushed aggregate driveway curving through a rural country setting
resurfacing-vs-replacement,hero-fresh-overlay-edge-aged-slab.webp,Fresh overlay edge meeting a worn older concrete slab
standard-driveway-dimensions,hero-squared-new-slab-bright-lawn.webp,Squared new concrete slab with clean lines beside bright lawn
when-can-you-drive,hero-freshly-sealed-asphalt-sheen.webp,Freshly sealed asphalt driveway with a dark wet sheen
